GEOID,Estimate,Margin of Error
1500000US340010114013,0.8056872037914692,0.1599300056219086
1500000US340010114031,0.8771163298743856,0.11625024155046067
1500000US340010114032,0.6156269691241336,0.1523249510050803
1500000US340010114033,0.9747899159663865,0.048973142641328585
1500000US340010114041,0.7454844006568144,0.19941564813885526
1500000US340010114042,0.899640143942423,0.07221417049612953
1500000US340010114043,0.878884267188647,0.06963465269209528
1500000US340010114044,0.7336591325595602,0.12773959653041797
1500000US340010115001,0.9613733905579399,0.04921396663744797
1500000US340010115002,0.8357089272318079,0.13882620061412543
1500000US340010115003,0.7516370439663237,0.20654797776005454
1500000US340010116001,0.8337203901532745,0.08718783213312795
1500000US340010116002,0.6197654941373534,0.1420589866747642
1500000US340010116003,0.910360884749709,0.04845599130779473
1500000US340010117021,0.6219903691813804,0.1869735707885752
1500000US340010117022,0.583625730994152,0.13874449854697773
1500000US340010117031,0.8449781659388647,0.14253871286789427
1500000US340010117032,0.6497737556561086,0.13420257183374304
1500000US340010117033,0.6187961985216474,0.26476876030846264
1500000US340010117041,0.6946764091858038,0.16768892339443087
1500000US340010117042,0.46609841146842307,0.21769076150027647
1500000US340010118031,0.7249134948096886,0.22540129842874493
1500000US340010118032,0.45131086142322097,0.11092884629371237
1500000US340010118033,0.8959764474975466,0.10479164736831786
1500000US340010118041,0.7672955974842768,0.15609520295751342
1500000US340010118042,0.8110539845758354,0.17212760711714772
1500000US340010118043,0.8810516191086887,0.09919279823677112
1500000US340010118051,0.8672032193158954,0.06708302663992306
1500000US340010118061,0.8562753036437247,0.1313908068413579
1500000US340010118062,0.7805519053876478,0.2018000543809822
1500000US340010118063,0.9682040531097135,0.045121801099203634
1500000US340010118071,0.9017305315203955,0.10661672540160427
1500000US340010118072,0.8082780163998438,0.21176503177113795
1500000US340010118073,0.8842688842688843,0.0999434403203704
1500000US340010118081,0.7516570923552806,0.24827237388581805
1500000US340010118082,0.8378209142141515,0.14138623147121926
1500000US340010119011,0.2590694006309148,0.2106922242278001
1500000US340010119012,0.6529790660225443,0.28386096992292487
1500000US340010119021,0.5958806818181818,0.19830961310509387
1500000US340010119022,0.38156209987195905,0.11595821448444363
1500000US340010120001,0.5107159142726858,0.16214170310301268
1500000US340010120002,0.3756880733944954,0.2204884473026121
1500000US340010121001,0.5387537993920972,0.1509315663287072
1500000US340010121002,0.28885734563520227,0.16973229909524223
1500000US340010122001,0.43209031816626753,0.19132566851532395
1500000US340010122002,0.5443425076452599,0.15929356575448184
1500000US340010122003,0.7631768953068592,0.13427325726681408
1500000US340010123021,0.9655333022822543,0.028640948324788806
1500000US340010123022,0.7368421052631579,0.12803622136494414
1500000US340010124011,0.8117770767613038,0.12581939299767733
1500000US340010124012,0.8986731001206273,0.0582860700759311
1500000US340010124021,0.8943206326383897,0.0627865288728651
1500000US340010124022,0.9513776337115073,0.054380451214679576
1500000US340010125011,0.946605141727093,0.027025394529793162
