GEOID,Percent low income,Margin of Error
340210035005,0.4343434343434343,0.375305872138851
340210035006,0.1739332096474953,0.1097627529995275
340210036011,0.5591147350029121,0.194559580625782
340210036012,0.1480978260869565,0.1100680969075538
340210036021,0.5822550831792976,0.3692940712586025
340210036022,0.3093607305936073,0.2786577639903955
340210036023,0.3596026490066225,0.1978418551245707
340210037031,0.0770949720670391,0.062028777272209
340210037032,0.1794061907770057,0.1451599034088489
340210037034,0.7789473684210527,0.2137712942308696
340210037041,0.0250521920668059,0.0274600004584284
340210037042,0.0985221674876848,0.0940283586990348
340210037061,0.1519230769230769,0.1058982412140686
340210037062,0.1951807228915663,0.1695833652429059
340210037071,0.1329479768786127,0.1945092416893225
340210037072,1.0,0.0
340210037073,0.3919726729291204,0.1797410372378882
340210037081,0.1208285385500574,0.064311545172138
340210037082,0.164850136239782,0.1420539087178426
340210037083,0.0,0.0
340210037084,0.1641791044776119,0.0960957381549873
340210038001,0.0549199084668191,0.0559330942804736
340210038002,0.0259433962264151,0.0290808857664194
340210038003,0.0,0.0
340210038004,0.064516129032258,0.0800165411385377
340210038005,0.0268456375838925,0.0476654703755183
340210038006,0.1550151975683891,0.1830462036523106
340210038007,0.1483803552769069,0.1443166289028935
340210039021,0.0627943485086341,0.0540470903895089
340210039022,0.1069023569023569,0.0545890045930681
340210039031,0.0078563411896743,0.0196655570111478
340210039032,0.0171428571428572,0.0750002699571213
340210039033,0.1204819277108434,0.0734731977474135
340210039041,0.1341951369652201,0.1424390235623059
340210039042,0.1078234704112337,0.0661274083168118
340210039043,0.1201550387596899,0.1485976180418049
340210039051,0.0171933085501859,0.0156256461729114
340210039052,0.0260021668472372,0.0295481258864429
340210039053,0.0141743444365698,0.0125063913647111
340210040001,0.0710723192019949,0.0658355412090279
340210040002,0.1218487394957983,0.0530337079133244
340210040003,0.2801556420233463,0.0907576777757552
340210040004,0.3164956590370955,0.3113627894279586
340210042031,0.1447368421052631,0.0826225824992406
340210042032,0.0903650508677438,0.0878112232497084
340210042033,0.0900900900900899,0.0731223211582865
340210042041,0.1764367816091954,0.1362609037395251
340210042042,0.0092307692307691,0.0099499194329207
340210042043,0.1068376068376067,0.1412194207241667
340210042044,0.0277777777777777,0.0362476970387499
340210042051,0.260595130748422,0.131154401792286
340210042052,0.0206718346253229,0.0215501211162417
340210042061,0.0958213256484149,0.0825481062206768
340210042062,0.0882352941176471,0.0784968654580097
340210043061,0.0171895143962184,0.0169218332785762
340210043062,0.0339595375722544,0.032032710396082
340210043071,0.0168539325842695,0.0170352751609021
340210043072,0.015625,0.0175288847207538
340210043073,0.1516300227445034,0.1074121333536987
340210043091,0.0434782608695651,0.0515636767341808
340210043093,0.0399429386590584,0.0425174543160261
340210043094,0.0058760683760683,0.0092127073048673
340210043095,0.0121457489878543,0.0106939749687615
340210043111,0.4974747474747475,0.3526069377546248
340210043112,0.1113312202852615,0.0687891849475666
340210043113,0.0607128867998432,0.0649387352419336
340210043114,0.1922129127649088,0.0950580087856719
340210043121,0.091816367265469,0.079135892739599
340210043122,0.0681388012618295,0.0997007295609096
340210043123,0.0086206896551723,0.0229990459496463
340210043131,0.2131036811887875,0.1488498386739286
340210043132,0.4748574390876101,0.2444577637613327
340210043143,0.0531177829099308,0.0562775271476707
340210043144,0.3199598796389167,0.1684709711969962
340210043146,0.0939226519337016,0.0712441617408273
340210043147,0.0887480190174327,0.1365262269510823
340210043151,0.0,0.0
340210043152,0.0098214285714284,0.0097747901774116
